"DATA_YEAR","ARRESTEE_ID","INCIDENT_ID","ARRESTEE_SEQ_NUM","ARREST_DATE","ARREST_TYPE_ID","MULTIPLE_INDICATOR","OFFENSE_TYPE_ID","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","RESIDENT_CODE","UNDER_18_DISPOSITION_CODE","CLEARANCE_IND","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2018,32515492,109024044,1,05-DEC-18,3,"N",16,5,28,"F",2,,"","","",28,0
2018,32510196,109024052,1,17-NOV-18,1,"N",21,5,23,"M",1,,"R","","",23,0
2018,32503184,109039648,2,04-DEC-18,3,"N",16,5,55,"F",1,,"","","",55,0
2018,32503183,109039648,1,04-DEC-18,3,"N",16,5,38,"F",1,,"","","",38,0
2018,32503185,109039657,1,08-DEC-18,3,"N",16,5,17,"M",2,,"","H","",17,0
2018,32515505,109033970,1,11-DEC-18,3,"N",16,5,19,"M",2,,"","","",19,0
2018,32515508,109039672,1,13-DEC-18,3,"N",32,5,29,"F",2,,"","","",29,0
2018,32515510,109033986,1,18-DEC-18,1,"N",32,5,36,"M",1,,"","","",36,0
2018,32510209,109033988,1,17-DEC-18,1,"N",16,5,25,"M",1,,"","","",25,0
2018,33899714,113026365,1,30-APR-19,3,"N",2,5,44,"M",1,2,"N","","",44,0
2018,33904614,113026365,2,03-MAY-19,3,"N",2,5,26,"M",1,2,"N","","",26,0
2018,33899613,113026089,1,09-JAN-19,3,"N",32,5,25,"F",2,,"","","",25,0
2018,35655685,117063869,1,07-SEP-18,1,"N",27,5,47,"F",1,,"U","","",47,0
2018,35655675,117063853,1,04-SEP-19,3,"N",5,5,25,"M",2,2,"R","","",25,0
2018,35655687,117077200,1,03-JUL-18,3,"N",45,5,55,"F",1,2,"U","","",55,0
2018,35655686,117077199,1,26-JUN-18,3,"N",45,5,43,"M",1,,"U","","",43,0
2018,32510200,109039669,1,12-DEC-18,3,"N",32,5,54,"M",2,,"","","",54,0
2018,32515509,109039676,1,15-DEC-18,1,"N",23,5,20,"F",2,,"","","",20,0
2018,32503192,109039686,1,19-DEC-18,1,"N",32,5,30,"F",1,,"","","",30,0
2018,32510227,109039711,2,21-NOV-18,1,"N",32,5,36,"F",1,,"","","",36,0
2018,32510225,109039711,1,21-NOV-18,1,"N",32,5,39,"M",1,,"","","",39,0
2018,32503191,109024080,1,17-DEC-18,1,"N",23,5,32,"F",1,,"","","",32,0
2018,32503196,109034010,4,07-OCT-18,2,"M",32,5,18,"F",2,2,"","","",18,19
2018,32515517,109034010,1,07-OCT-18,2,"M",35,5,22,"M",2,2,"N","","",22,23
2018,32510214,109034010,3,07-OCT-18,2,"M",32,5,19,"M",1,2,"N","","",19,20
2018,32510213,109034010,2,07-OCT-18,2,"M",35,5,19,"M",1,2,"N","","",19,20
2018,32510241,109039749,1,29-NOV-18,3,"N",16,5,49,"F",1,2,"R","","",49,0
2018,32503186,109039659,1,10-DEC-18,3,"N",16,5,18,"M",2,,"","","",18,0
2018,32515500,109039659,2,10-DEC-18,3,"N",35,5,20,"M",2,,"","","",20,0
2018,32510207,109033984,1,12-DEC-18,3,"N",32,5,24,"M",2,,"","","",24,0
2018,32503199,109024096,1,01-OCT-18,3,"M",39,5,32,"M",2,2,"N","","",32,33
2018,32503201,109024096,3,01-OCT-18,3,"M",39,5,35,"F",2,2,"N","","",35,36
2018,32503200,109024096,2,01-OCT-18,3,"M",39,5,27,"F",1,1,"N","","",27,28
2018,32510206,109033981,2,14-DEC-18,3,"N",32,5,53,"F",1,,"","","",53,0
2018,32510205,109033981,1,14-DEC-18,3,"N",32,5,18,"F",1,,"","","",18,0
2018,32510210,109033990,1,17-DEC-18,1,"N",32,5,19,"F",1,,"","","",19,0
