"DATA_YEAR","OFFENDER_ID","INCIDENT_ID","OFFENDER_SEQ_NUM","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2018,123444124,109024046,1,5,32,"M",2,,32,0
2018,123450387,109039644,1,4,,"M",2,,,
2018,123450399,109033956,1,4,,"U",0,,,
2018,123444158,109024073,1,5,35,"F",1,,35,0
2018,123450432,109039685,1,5,25,"F",2,,25,0
2018,123448801,109039704,1,5,20,"M",2,2,20,21
2018,123450460,109024105,1,4,,"U",0,,,
2018,123448822,109034041,1,5,62,"M",2,,62,0
2018,123450489,109034047,1,5,27,"M",2,,27,0
2018,123444254,109034075,1,5,42,"M",1,2,42,0
2018,123444256,109039758,1,4,,"U",0,3,,
2018,123444121,109033940,1,5,30,"M",2,,30,0
2018,123444122,109033940,2,5,24,"F",1,,24,0
2018,123448719,109039638,1,4,,"U",0,,,
2018,123450388,109033945,1,5,24,"M",1,,24,0
2018,123450389,109024052,1,5,23,"M",1,,23,0
2018,123450401,109039657,1,5,17,"M",2,,17,0
2018,123448749,109033963,1,5,23,"M",2,,23,0
2018,123444140,109039666,1,5,21,"M",1,,21,0
2018,123444141,109039666,2,5,19,"M",1,,19,0
2018,123448755,109039668,1,4,,"U",0,,,
2018,123450412,109024066,1,4,,"U",0,,,
2018,123450427,109033983,1,4,,"U",0,,,
2018,123448769,109024077,1,4,,"U",0,,,
2018,123448798,109034017,1,5,47,"M",1,2,47,48
2018,123450455,109034019,1,5,17,"M",1,2,17,18
2018,123448727,109039646,1,5,25,"M",2,,25,0
2018,123448736,109033952,1,5,15,"M",2,,15,0
2018,123448741,109033957,1,5,30,"F",2,,30,0
2018,123448779,109034002,1,4,,"U",0,,,
2018,123444181,109039693,1,4,,"U",0,,,
2018,123448803,109034019,2,5,18,"M",1,2,18,19
2018,123448809,109024106,2,5,58,"F",1,,58,0
2018,123444203,109024106,1,5,45,"F",1,,45,0
2018,123448812,109034027,1,4,,"U",0,,,
2018,123448823,109039730,1,5,40,"M",2,,40,0
2018,123448841,109034061,1,5,24,"F",1,2,24,0
2018,123444247,109039750,1,5,57,"M",1,2,57,0
2018,123450409,109039662,1,4,,"M",1,,,
2018,123444139,109039662,2,4,,"M",1,,,
2018,123448745,109039662,3,4,,"M",1,,,
2018,123450437,109033999,1,4,,"U",0,,,
2018,123444178,109034007,2,5,23,"M",2,,23,0
2018,123444176,109034007,1,5,37,"M",2,,37,0
2018,123450466,109039715,1,5,40,"M",2,,40,0
2018,123450502,109024134,1,4,,"U",0,,,
2018,123444127,109033943,1,5,23,"M",1,2,23,24
2018,127380877,112399466,1,5,30,"M",1,1,30,0
2018,127367945,112401823,1,5,36,"F",1,3,36,0
2018,127367949,112393871,0,,,"",,,,
2018,127376446,112401897,0,,,"",,,,
2018,127367929,112401812,1,5,49,"M",1,3,49,0
2018,127376361,112393863,1,5,36,"F",1,3,36,0
2018,127376367,112401817,1,5,34,"M",1,3,34,0
2018,127380943,112401885,1,5,19,"M",1,2,19,0
2018,128984597,113828608,1,5,47,"F",1,3,47,0
2018,128993142,113824111,1,5,15,"F",1,2,15,0
2018,127367831,112393768,1,4,,"U",0,3,,
2018,127376278,112401728,1,4,,"U",0,,,
2018,127376366,112393867,1,5,33,"M",1,3,33,0
2018,127367947,112393870,1,5,34,"F",1,1,34,0
2018,127367948,112393870,3,5,35,"M",1,3,35,0
2018,127364660,112381797,1,4,,"U",0,3,,
2018,127357000,112381806,1,4,,"U",0,3,,
2018,128085794,113026817,1,5,27,"F",1,,27,0
2018,127369785,112387318,1,5,16,"M",1,2,16,0
2018,127369836,112384299,0,,,"",,,,
2018,127361024,112384315,0,,,"",,,,
2018,127369894,112387362,1,5,16,"M",1,2,16,0
2018,127369896,112387362,2,5,25,"M",1,2,25,0
2018,127369900,112384363,1,5,44,"M",2,2,44,0
2018,127361063,112384389,0,,,"",,,,
2018,127369953,112384400,1,5,34,"F",2,2,34,0
2018,127370005,112384434,0,,,"",,,,
2018,133062855,117075385,1,5,32,"M",1,2,32,0
2018,133062857,117075385,2,5,44,"M",1,2,44,0
2018,128090973,113036727,1,5,28,"F",1,,28,0
2018,128095836,113036743,1,5,21,"F",1,,21,0
2018,127357182,112381958,1,4,,"F",0,3,,
2018,133062859,117075384,1,5,17,"M",1,2,17,0
2018,127369790,112384254,0,,,"",,,,
2018,127361023,112384311,1,5,25,"M",1,2,25,0
2018,127361031,112387352,1,5,32,"F",1,2,32,0
2018,127369883,112384343,1,5,42,"M",0,3,42,0
2018,127369919,112384379,0,,,"",,,,
2018,127369928,112384388,2,5,29,"M",2,2,29,0
2018,127369927,112384388,1,5,23,"F",2,2,23,0
2018,127369945,112384395,0,,,"",,,,
2018,127369982,112387408,1,5,17,"M",4,2,17,0
2018,127367933,112399469,2,5,56,"M",2,3,56,0
2018,127367934,112399469,1,5,36,"M",1,3,36,0
2018,127367967,112399488,1,4,,"U",0,3,,
2018,127380958,112401904,1,5,29,"F",1,2,29,0
2018,133064738,117063853,1,5,25,"M",2,2,25,0
2018,133064745,116955885,0,,,"",,,,
2018,131817164,116117592,1,5,55,"F",2,2,55,0
2018,131817166,116117592,3,5,55,"M",2,2,55,0
2018,131817165,116117592,2,5,19,"M",2,2,19,0
2018,133064808,117077206,1,5,43,"M",1,,43,0
2018,128984601,113818490,1,5,48,"M",1,2,48,0
2018,128090862,113036647,1,4,,"U",0,,,
2018,128085734,113026695,1,5,37,"M",1,1,37,38
2018,128095341,113026340,2,5,33,"M",1,3,33,0
2018,128090975,113026805,1,4,,"U",0,,,
2018,128095336,113031335,1,4,,"U",0,3,,
2018,127356203,112381104,1,4,,"U",0,,,
2018,127357059,112381856,1,4,,"U",0,3,,
2018,127357086,112381880,1,5,32,"F",2,3,32,0
2018,127358779,112383332,1,5,39,"M",2,,39,0
2018,127359376,112383867,1,5,33,"F",2,2,33,34
2018,127359490,112391256,1,4,,"U",0,,,
2018,127369783,112384246,1,5,23,"F",2,2,23,0
2018,127369837,112384300,1,5,25,"M",1,2,25,0
2018,127361020,112384308,1,5,41,"F",1,2,41,0
2018,127364857,112384325,1,5,28,"M",4,2,28,0
2018,127369895,112387363,1,5,29,"F",1,2,29,0
2018,127369898,112387363,2,5,31,"F",1,2,31,0
2018,127369920,112384378,0,,,"",,,,
2018,127369924,112384386,1,5,27,"F",1,2,27,0
2018,127369949,112387395,1,5,27,"M",1,2,27,0
2018,127369958,112384402,1,5,33,"M",2,2,33,0
2018,127380863,112399458,1,4,,"U",0,,,
2018,127380878,112399467,1,5,20,"M",1,1,20,0
2018,127376374,112399476,0,,,"",,,,
2018,127360733,112383868,1,5,33,"F",2,,33,34
2018,127359481,112387176,1,4,,"U",0,,,
2018,127369828,112384296,0,,,"",,,,
2018,127361029,112384319,0,,,"",,,,
2018,127369879,112387358,0,,,"",,,,
2018,127369913,112387370,0,,,"",,,,
2018,127361067,112384392,1,5,63,"M",1,2,63,0
2018,127369964,112384405,0,,,"",,,,
2018,127369990,112391277,1,5,20,"M",2,2,20,0
2018,127369832,112387339,0,,,"",,,,
2018,127369861,112384324,1,5,29,"F",1,2,29,0
2018,127369871,112384337,2,5,17,"M",2,2,17,0
2018,127369870,112384337,1,5,20,"M",2,2,20,0
2018,127369887,112384355,1,5,35,"M",1,2,35,0
2018,127369903,112384369,0,,,"",,,,
2018,127369916,112384375,0,,,"",,,,
2018,127369933,112387384,1,5,22,"M",4,2,22,0
2018,127361071,112384397,0,,,"",,,,
2018,127361075,112387400,0,,,"",,,,
2018,127361079,112384415,1,5,22,"F",1,2,22,0
2018,127361080,112384415,2,5,31,"M",1,2,31,0
2018,127361088,112384433,1,5,14,"M",2,2,14,0
2018,127357063,112381857,1,4,,"U",0,3,,
2018,127357191,112381964,1,4,,"U",0,3,,
2018,131826556,116110319,1,4,,"U",0,,,
2018,133064736,117063852,0,,,"",,,,
2018,127357167,112391112,1,4,,"U",0,3,,
2018,127356925,112381742,1,4,,"U",0,3,,
2018,127367946,112401826,0,,,"",,,,
2018,127359379,112387134,1,5,33,"F",2,2,33,34
2018,127360977,112387319,1,5,43,"M",2,2,43,0
2018,127369839,112384303,0,,,"",,,,
2018,127369863,112384329,1,5,30,"M",2,2,30,0
2018,127361043,112384352,1,5,31,"F",1,2,31,0
2018,127369934,112384387,0,,,"",,,,
2018,127369976,112384412,1,5,32,"F",2,2,32,0
2018,127369995,112387415,0,,,"",,,,
2018,127356999,112381804,1,4,,"U",0,3,,
2018,127358711,112391209,1,5,38,"F",1,,38,0
2018,127369826,112387346,2,5,31,"M",1,2,31,0
2018,127361011,112387346,1,5,50,"F",1,2,50,0
2018,127369869,112384331,0,,,"",,,,
2018,127364858,112384333,1,5,49,"M",1,2,49,0
2018,127369944,112387392,1,5,54,"F",2,2,54,0
2018,127369985,112384416,1,5,23,"F",2,2,23,0
2018,128984596,113823571,0,,,"",,,,
2018,128090236,113031094,1,4,,"M",2,,,
2018,128992186,113823570,1,5,25,"M",1,1,25,0
2018,128995202,113829426,1,5,26,"M",2,2,26,0
2018,128991839,113823193,1,4,,"U",0,3,,
2018,128992185,113818484,1,5,26,"M",1,3,26,0
2018,128992181,113823567,0,,,"",,,,
2018,128984599,113818487,0,,,"",,,,
2018,128989238,113819183,1,5,39,"M",1,,39,0
2018,128984602,113823574,1,5,27,"M",1,1,27,0
2018,128988476,113818491,0,,,"",,,,
2018,128995261,113819176,1,5,35,"F",1,,35,0
2018,127359359,112387128,1,4,,"U",0,,,
2018,127359378,112383870,1,5,33,"F",2,2,33,0
2018,127369844,112384309,2,5,17,"F",1,1,17,0
2018,127369843,112384309,1,5,17,"M",1,1,17,0
2018,127361035,112387355,1,5,27,"F",2,2,27,0
2018,127369918,112387372,1,5,33,"M",1,2,33,0
2018,127369884,112384348,1,5,53,"M",1,2,53,0
2018,127369926,112384383,1,5,23,"F",2,2,23,0
2018,127369937,112387387,0,,,"",,,,
2018,127369955,112391276,1,5,25,"M",1,2,25,0
2018,127361073,112391276,2,5,23,"F",1,2,23,0
2018,127369994,112384422,0,,,"",,,,
2018,127370002,112384428,0,,,"",,,,
2018,127359469,112387170,1,5,34,"M",2,,34,0
2018,127360975,112384245,0,,,"",,,,
2018,127369889,112384346,2,5,28,"F",2,2,28,0
2018,127361042,112384346,1,5,39,"F",2,2,39,0
2018,127361049,112384361,0,,,"",,,,
2018,127369940,112387390,1,5,29,"M",1,2,29,0
2018,127361074,112387401,0,,,"",,,,
2018,127369979,112387411,2,5,26,"M",2,2,26,0
2018,127369981,112387411,3,5,23,"F",1,1,23,0
2018,127369977,112387411,1,5,18,"F",1,2,18,0
2018,127370004,112387419,1,5,45,"M",2,2,45,0
2018,127356919,112381734,1,5,27,"F",2,,27,0
2018,127356993,112381795,1,4,,"U",0,3,,
2018,127360734,112387135,1,5,33,"F",2,2,33,34
2018,127369859,112384316,0,,,"",,,,
2018,127361040,112387357,1,5,35,"F",1,2,35,0
2018,127369922,112387375,0,,,"",,,,
2018,127361084,112387417,1,5,29,"F",1,2,29,0
2018,127361090,112387421,1,5,20,"F",1,1,20,0
2018,127360717,112383837,1,4,,"U",0,3,,
2018,127360976,112384250,0,,,"",,,,
2018,127361006,112384285,0,,,"",,,,
2018,127361013,112384295,0,,,"",,,,
2018,127369851,112384307,1,5,17,"F",1,2,17,0
2018,127369875,112384342,2,5,24,"F",2,2,24,0
2018,127369874,112384342,1,5,23,"F",2,2,23,0
2018,127369890,112384347,1,5,44,"M",2,2,44,0
2018,127369996,112384425,1,5,27,"F",2,2,25,30
