"DATA_YEAR","VICTIM_ID","OFFENDER_ID","RELATIONSHIP_ID","NIBRS_VICTIM_OFFENDER_ID"
2018,123885737,127361023,16,38250844
2018,123885766,127369883,1,38250856
2018,123888035,127369982,19,38250870
2018,123885870,127369999,19,38248362
2018,123887943,127369785,19,38250827
2018,123888026,127369953,15,38250867
2018,123885736,127369854,21,38250842
2018,123888018,127361068,3,38250866
2018,123888036,127369983,18,38250871
2018,123885729,127369847,3,38248353
2018,123887998,127369907,5,38250859
2018,123885849,127369974,20,38250869
2018,123884170,127358126,16,38250355
2018,123882945,127359737,17,38245147
2018,123885742,127361026,24,38250850
2018,123885742,127369858,24,38250851
2018,123885742,127369855,24,38250847
2018,123885742,127361025,24,38250849
2018,123885742,127369856,24,38250848
2018,123885877,127361088,19,38250873
2018,123887973,127369837,9,38250836
2018,123885818,127361065,17,38250865
2018,123885848,127361077,16,38250868
2018,123885756,127364858,24,38250854
2018,123887985,127369863,24,38248358
2018,123885775,127361043,3,38248360
2018,123885727,127361018,3,38250837
2018,123885746,127369862,3,38250852
2018,123883052,127356986,5,38245163
2018,123883038,127356986,3,38245159
2018,123883045,127356986,18,38245161
2018,123883056,127356986,5,38245164
2018,123883050,127356986,5,38245162
2018,123706057,127357869,3,38250277
2018,123903136,127380874,19,38182832
2018,123894240,127367935,18,38182833
2018,123894240,127376364,18,38249626
2018,125498910,128984602,1,38904585
2018,125498905,128992186,18,38904584
2018,125504014,128995202,21,38901093
2018,120097599,123448859,18,36789211
2018,123903139,127380877,26,38252250
2018,120097496,123448755,18,36797887
2018,120097497,123448755,18,36804653
2018,120084855,123450434,1,36804658
2018,120084824,123444144,18,36789198
2018,120084824,123444143,18,36789197
2018,120097515,123450442,1,36789199
2018,120084882,123444206,1,36789201
2018,120097542,123450468,1,36797895
2018,120097461,123448718,18,36804644
2018,120097487,123448744,1,36804650
2018,120097498,123444147,21,36804654
2018,120084878,123450459,3,36789200
2018,123885734,127369844,24,38250841
2018,123885730,127369844,24,38250840
2018,123885730,127369843,24,38250839
2018,123885734,127369843,24,38248355
2018,123885755,127361034,21,38250853
2018,123887992,127369882,21,38248359
2018,123887995,127369893,3,38250857
2018,123891207,127369926,1,38250862
2018,123885814,127369926,1,38250863
2018,123885817,127369926,1,38250864
2018,120101279,123444154,1,36804657
2018,120101327,123448814,1,36804661
2018,120101327,123444209,1,36797896
2018,120101327,123450470,1,36797897
2018,120101327,123448815,1,36804662
2018,123887942,127360974,9,38250826
2018,120101274,123448749,1,36804652
2018,120097489,123448749,1,36804651
2018,120084850,123448774,3,36797891
2018,120097550,123448819,18,36797898
2018,120084807,123448728,3,36804647
2018,128272473,133062554,18,40049446
2018,128274762,133064798,9,40050280
2018,128274771,133064808,5,40050282
2018,128272809,133062859,1,40049574
2018,128272808,133062855,1,40049573
2018,128272808,133062857,1,40049575
2018,120101262,123448730,1,36797885
2018,123887977,127369848,21,38248354
2018,123888003,127369917,3,38250861
2018,124608248,128090614,5,38551412
2018,124598475,128085556,18,38551410
2018,123885792,127361052,1,38250858
2018,123887979,127369845,24,38250845
