data_year,victim_id,circumstances_id,justifiable_force_id
2022,168151169,21,1
2022,176141609,20,1
2022,171072429,21,1
2022,184558980,21,1
2022,184541286,20,1
2022,171072271,20,2
2022,180699268,21,2
2022,166805592,20,3
2022,177553171,20,3
2022,177553425,20,3
2022,177580337,20,3
2022,177586266,20,3
2022,172909770,20,3
2022,172920230,20,3
2022,179146919,20,3
2022,172912793,20,3
2022,184538645,20,3
2022,184538706,20,3
2022,184540639,20,3
2022,180708315,21,3
2022,180692965,20,3
2022,180698188,20,3
2022,182731925,20,3
2022,182734489,20,3
2022,182734490,20,3
2022,174708626,20,3
2022,171066790,21,3
2022,176120002,20,3
2022,176122840,20,3
2022,171044647,20,3
2022,171074597,20,3
2022,176152676,20,3
2022,171074197,20,3
2022,166805486,20,5
2022,166805271,21,5
2022,176120453,20,5
2022,176120282,20,5
2022,176162118,20,5
2022,184558493,21,5
2022,184539283,20,5
2022,184539533,20,5
2022,184539534,20,5
2022,186281293,21,5
2022,180692997,20,5
2022,184538824,20,7
