data_year,suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
2023,12,163569797,2.700,1,14810218
2023,5,163569797,4.880,1,14810220
2023,5,163569635,1.000,1,14810208
2023,5,163569685,14.900,3,14810211
2023,5,163569743,0.001,1,14810213
2023,5,163569834,2.000,1,14810222
2023,12,163569973,1.000,1,14810231
2023,12,163569851,1.000,1,14810224
2023,16,173482039,2.000,9,16230121
2023,12,163569982,0.001,1,14810232
2023,2,166593774,0.100,1,15240525
2023,5,166593783,8.000,1,15240528
2023,16,173482117,4.000,9,16230138
2023,5,180144796,2.000,1,17120346
2023,12,180144796,0.500,1,17120347
2023,15,180144796,5.000,9,17120348
2023,8,170525285,6.000,9,15809249
2023,8,166593892,34.000,9,15240540
2023,16,166593892,0.500,9,15240541
2023,5,166593814,16.370,1,15240531
2023,16,166593855,0.800,1,15240535
2023,5,166593865,25.020,1,15240539
2023,5,166612181,1.000,1,15243485
2023,12,166612181,1.000,1,15243486
2023,5,166612224,0.001,3,15243489
2023,5,166612209,2.009,1,15243487
2023,16,173482138,2.000,9,16230142
2023,12,173482162,0.510,1,16230146
2023,2,166612258,0.500,1,15243494
2023,5,166612316,0.970,1,15243497
2023,12,166612357,1.000,11,15243499
2023,12,166612288,1.500,1,15243495
2023,5,166612288,1.000,1,15243496
2023,12,169097897,27.000,5,15603751
2023,12,169097981,0.050,1,15603760
2023,16,169097981,1.000,9,15603761
2023,16,169097985,0.001,9,15603762
2023,5,180144811,3.000,1,17120354
2023,8,180144811,0.002,9,17120355
2023,12,169098001,0.450,1,15603764
2023,12,169097992,5.000,9,15603763
2023,5,169098075,0.250,3,15603770
2023,12,170525369,0.200,1,15809254
2023,12,170525636,0.110,1,15809270
2023,12,170525499,0.001,1,15809258
2023,7,170525499,0.001,1,15809259
2023,5,170525554,5.000,1,15809261
2023,12,170525698,0.330,1,15809276
2023,5,170525764,0.450,3,15809289
2023,12,170525585,1.000,1,15809265
2023,5,170525585,1.000,11,15809266
2023,5,170525802,5.000,1,15809295
2023,5,170525763,8.000,1,15809288
2023,12,170525797,1.000,1,15809292
2023,5,170525664,2.000,1,15809272
2023,12,170525784,0.570,1,15809290
2023,16,171674993,3.000,1,15972035
2023,5,171675044,1.000,3,15972044
2023,5,171675179,2.000,1,15972059
2023,5,171675016,2.000,1,15972040
2023,5,171675079,2.000,1,15972050
2023,12,173482001,0.300,1,16230118
2023,12,173482057,1.000,1,16230123
2023,5,173482338,0.500,1,16230171
2023,5,173482061,16.000,1,16230124
2023,12,175034093,0.050,1,16424747
2023,5,175034093,1.000,1,16424748
2023,12,175034124,5.000,1,16424749
2023,12,177695589,0.250,1,16787535
2023,5,177695604,0.025,1,16787537
2023,12,177695683,0.025,1,16787545
2023,16,177695626,0.001,1,16787539
2023,5,177695639,0.050,1,16787540
2023,2,177695639,0.025,1,16787541
2023,16,177695721,0.025,1,16787548
2023,5,177695721,0.025,1,16787549
2023,13,177695651,1.005,1,16787542
2023,16,177695651,1.000,11,16787543
2023,5,179250044,0.410,3,16996467
2023,2,179250106,0.400,1,16996470
2023,5,179250116,0.256,3,16996471
2023,5,179250144,1.000,1,16996472
2023,12,179250156,1.000,7,16996474
2023,5,179250206,0.500,3,16996477
2023,12,179250217,1.000,1,16996478
2023,12,169094743,0.001,1,15603300
2023,12,169094747,0.001,1,15603303
2023,12,169094748,0.001,1,15603304
2023,5,169094748,0.001,1,15603305
2023,8,169094752,0.001,1,15603306
2023,5,169094752,0.001,1,15603307
2023,5,169094758,0.003,1,15603311
2023,12,169094758,0.009,1,15603312
2023,12,169094772,0.002,1,15603317
2023,12,169094781,0.001,1,15603319
2023,12,169094744,1.000,11,15603301
2023,16,169094788,0.001,1,15603321
2023,12,169094799,0.002,1,15603322
2023,12,169094813,0.016,1,15603326
2023,12,171670527,0.004,1,15971584
2023,13,171670534,29.000,1,15971587
2023,12,171670539,0.011,1,15971588
2023,12,171670541,0.029,1,15971590
2023,12,171670546,0.035,1,15971592
2023,12,171670528,0.001,1,15971585
2023,12,171670532,0.001,1,15971586
2023,16,171670540,10.000,9,15971589
2023,12,175032107,1.000,1,16424506
2023,12,175032114,4.300,1,16424508
2023,5,175032123,91.000,1,16424509
2023,2,175032123,76.091,1,16424510
2023,12,175032123,0.001,1,16424511
2023,8,175032125,0.001,1,16424512
2023,12,175032130,0.001,1,16424513
2023,8,175032133,1.000,11,16424514
2023,12,177692235,39.640,1,16787065
2023,12,179247688,7.200,1,16996247
2023,12,179247709,49.005,1,16996251
2023,12,179247711,38.000,1,16996253
2023,12,179247696,87.000,1,16996249
2023,2,164933831,169.000,1,14993706
2023,12,164933831,337.000,1,14993707
2023,16,164933831,50.000,9,14993708
2023,12,164933902,0.060,1,14993720
2023,17,164933931,2.000,9,14993724
2023,5,164933810,1.000,3,14993698
2023,16,164933810,10.000,9,14993699
