"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2018,113079672,9,,,122907525
2018,113079672,47,,,122907526
2018,113079672,25,20,,122907524
2018,113070567,16,440,,122906008
2018,113077402,10,,,122890109
2018,113070586,10,,,122890120
2018,113077434,4,250,,122890144
2018,113070614,43,1500,,122907577
2018,113070625,47,,,122890153
2018,113070636,38,50,28-NOV-18,122890163
2018,113070633,38,50,,122890159
2018,113070638,63,375,,122906087
2018,113077465,10,,,122906091
2018,113070660,20,200,,122890188
2018,116012803,63,35,,126817065
2018,116012803,7,550,,126817066
2018,116012612,3,23500,,126801826
2018,113079683,9,,,122907534
2018,113077393,3,20000,,122906012
2018,113070573,9,,,122906015
2018,113070573,47,,,122907540
2018,113070573,25,40,,122907537
2018,113070573,20,2,,122906017
2018,113070573,51,,,122906018
2018,113079705,10,,,122906039
2018,113079707,9,,,122907557
2018,113079707,51,,,122890125
2018,113079707,25,30,,122890124
2018,113070634,3,1000,,122890161
2018,113077454,16,100,,122907601
2018,113079767,63,100,,122906099
2018,116012633,9,,,126801858
2018,116012741,63,1,,126801983
2018,116012741,51,,,126801989
2018,116012741,25,20,,126801986
2018,116029723,63,9,,126819105
2018,116029721,63,9,06-OCT-18,126819103
2018,116029741,9,0,,126819140
2018,116016989,8,9,02-NOV-18,126808223
2018,116029777,8,9,,126808225
2018,116029782,10,,,126808233
2018,116029813,9,0,,126819256
2018,116029813,20,90,,126819249
2018,116029813,51,0,,126808245
2018,116029813,15,20,,126819250
2018,116029878,47,0,,126819342
2018,116012592,9,,,126801796
2018,116029748,10,,,126819157
2018,116029754,20,200,,126812260
2018,116029765,10,,,126819184
2018,116029784,63,1500,,126819207
2018,116029823,10,,,126808255
2018,116029832,63,65,,126819277
2018,116029850,26,150,,126819314
2018,116017034,25,2530,,126819323
2018,116017034,20,400,,126808276
2018,116017034,17,2500,,126819325
2018,116012686,20,6140,,126801926
2018,116012695,3,39000,,126801938
2018,116012823,20,7920,,126817092
2018,116011924,38,450,,126801133
2018,116011924,61,400,,126801138
2018,116011924,15,1000,,126801132
2018,116011924,7,300,,126801134
2018,116011924,63,100,,126807058
2018,116011924,16,300,,126801139
2018,116011924,26,300,,126807057
2018,116012484,6,75,03-JAN-19,126801661
2018,116012483,6,75,,126801660
2018,116012498,25,1520,,126801681
2018,116012583,52,,,126801783
2018,116016058,17,5590,,126807196
2018,116012657,3,15000,,126801888
2018,116029362,63,110,,126818693
2018,116029364,63,115,,126818694
2018,116016763,7,157,,126807960
2018,116029367,63,227,,126807961
2018,116016807,3,8000,,126808008
2018,116012727,21,113000,,126801967
2018,116012731,47,,,126801971
2018,116016937,13,350,,126819043
2018,116029702,20,1501,,126819075
2018,116016971,36,10,,126819154
2018,116016967,36,10,15-OCT-18,126819147
2018,116016967,19,31,15-OCT-18,126819146
2018,116016967,6,9,15-OCT-18,126808195
2018,116016971,6,9,,126808196
2018,116016971,19,31,,126819151
2018,116029762,38,40,,126819180
2018,116029779,62,50,,126819200
2018,116029787,10,,,126819209
2018,116029843,15,7984,,126819300
2018,116029849,6,17,11-DEC-18,126819308
2018,116029856,16,253,,126819315
2018,116029856,63,45,,126819317
2018,116029856,8,5,,126808274
2018,116029849,8,5,11-DEC-18,126819311
2018,116029849,63,35,11-DEC-18,126819307
2018,116029856,6,32,,126819320
2018,116029849,16,253,11-DEC-18,126819306
2018,116017040,61,800,,126808283
2018,116029936,10,,,126819435
2018,116024234,17,15000,,126801659
2018,116012627,62,3000,,126801850
2018,116016995,10,,,126819205
2018,116029791,20,615,,126819214
2018,116029809,8,55,,126819253
2018,116017037,16,375,,126819328
2018,116017046,10,,,126819348
2018,116024313,61,250,,126817921
2018,116024366,20,30000,,126812228
2018,116029719,10,,,126819098
2018,116029781,61,1000,,126808229
2018,116029781,9,0,,126808231
2018,116029781,25,200,,126819203
2018,116029781,51,0,,126819204
2018,116029781,38,600,,126819201
2018,116029781,63,300,,126819202
2018,116017001,43,100,,126808240
2018,116017001,6,445,,126808237
2018,116017001,62,10,,126819224
2018,116017001,63,339,,126808238
2018,116017001,27,75,,126819221
2018,116017001,13,2000,,126819213
2018,116029816,63,10,07-DEC-18,126808250
2018,116029816,61,290,07-DEC-18,126819260
2018,116029817,63,10,,126808252
2018,116029817,61,290,,126819263
2018,116029838,7,2500,,126819295
2018,116016398,7,110,,126807563
2018,116013827,20,527,,126818153
2018,116013890,9,,,126818206
2018,116024369,15,6000,,126808019
2018,116029443,3,1,,126818800
2018,116016872,20,8000,,126808074
2018,116029675,21,1055,,126819041
2018,116016935,63,72,16-DEC-18,126819035
2018,116016936,8,1,,126819039
2018,116016936,63,220,,126819037
2018,116029677,38,24000,,126808148
2018,116029680,15,500,,126808150
2018,116016955,10,,,126819088
2018,116029713,10,158,,126812255
2018,116016959,63,50,,126812257
2018,116016960,36,1500,,126808178
2018,116016960,55,200,,126808180
2018,116029720,38,50,,126819100
2018,116029724,7,300,,126819107
2018,116029724,47,0,,126808186
2018,116029724,16,50,,126819109
2018,116029724,63,500,,126819106
2018,116029724,25,55,,126819108
2018,116029724,9,0,,126819111
2018,116029722,23,9,,126819104
2018,116029722,8,19,,126819102
2018,116016958,23,9,01-OCT-18,126819093
2018,116016958,6,69,01-OCT-18,126808176
2018,116016958,16,133,01-OCT-18,126808175
2018,116016958,8,19,01-OCT-18,126808177
