"DATA_YEAR","VICTIM_ID","INCIDENT_ID","VICTIM_SEQ_NUM","VICTIM_TYPE_ID","ASSIGNMENT_TYPE_ID","ACTIVITY_TYPE_ID","OUTSIDE_AGENCY_ID","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","RESIDENT_STATUS_CODE","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2018,123894241,112399471,1,8,,,,,,"",,,"",,
2018,123894244,112401821,1,1,,,,,,"",,,"",,
2018,123894255,112399480,1,1,,,,,,"",,,"",,
2018,123894239,112393864,1,4,,,,5,55,"M",1,2,"R",55,0
2018,123903147,112401827,1,4,,,,5,29,"M",1,2,"R",29,0
2018,123903139,112399466,1,4,,,,5,35,"F",1,1,"R",35,0
2018,123894246,112401823,1,1,,,,,,"",,,"",,
2018,123885036,112387008,1,3,,,,,,"",,,"",,
2018,123885678,112387323,1,1,,,,,,"",,,"",,
2018,123887976,112387349,1,8,,,,,,"",,,"",,
2018,123885755,112384332,1,4,,,,5,55,"F",4,2,"R",55,0
2018,123887992,112387359,1,4,,,,5,35,"F",1,2,"R",35,0
2018,123887995,112387364,1,4,,,,5,39,"M",1,2,"N",39,0
2018,123885796,112384368,2,8,,,,,,"",,,"",,
2018,123888007,112387377,1,8,,,,,,"",,,"",,
2018,123885823,112387383,1,8,,,,,,"",,,"",,
2018,123888029,112387399,1,8,,,,,,"",,,"",,
2018,123888034,112387407,1,1,,,,,,"",,,"",,
2018,123887789,112387170,1,1,,,,,,"",,,"",,
2018,123885663,112384245,1,4,,,,5,44,"M",1,2,"R",44,0
2018,123885769,112384346,1,8,,,,,,"",,,"",,
2018,123885787,112384361,1,1,,,,,,"",,,"",,
2018,123885830,112387390,1,8,,,,,,"",,,"",,
2018,123885842,112387401,1,4,,,,5,21,"M",1,2,"N",21,0
2018,123885855,112387411,2,4,,,,5,64,"F",1,2,"N",64,0
2018,123885854,112387411,1,8,,,,,,"",,,"",,
2018,123885856,112387411,3,4,,,,5,57,"M",2,2,"N",57,0
2018,123885876,112387419,1,4,,,,5,37,"F",2,2,"R",37,0
2018,123706001,112386235,1,1,,,,,,"",,,"",,
2018,123887977,112387350,1,4,,,,5,47,"M",4,2,"R",47,0
2018,123887986,112387353,1,1,,,,,,"",,,"",,
2018,123887993,112387360,1,1,,,,,,"",,,"",,
2018,123885793,112384364,1,8,,,,,,"",,,"",,
2018,123885809,112387374,1,8,,,,,,"",,,"",,
2018,123888011,112387381,1,4,,,,5,40,"M",2,2,"N",40,0
2018,123888020,112387389,2,1,,,,,,"",,,"",,
2018,123888019,112387389,1,4,,,,5,41,"F",1,2,"R",41,0
2018,123885835,112387394,1,1,,,,,,"",,,"",,
2018,123885846,112387403,1,4,,,,5,65,"M",1,2,"R",65,0
2018,123885860,112384418,1,4,,,,5,36,"M",1,2,"R",36,0
2018,123882952,112381734,1,1,,,,,,"",,,"",,
2018,123883043,112381795,1,4,,,,5,35,"M",2,2,"R",35,0
2018,123903140,112401816,1,4,,,,5,54,"M",1,2,"R",54,0
2018,123906646,112401820,1,4,,,,5,53,"F",1,2,"R",53,0
2018,123894432,112394046,1,4,,,,5,65,"M",2,,"",65,66
2018,123885669,112384252,1,4,,,,5,20,"F",1,2,"N",20,0
2018,123885722,112387345,1,4,,,,5,70,"M",1,2,"R",70,0
2018,123887975,112384304,1,4,,,,5,39,"M",2,2,"R",39,0
2018,123885783,112384356,1,4,,,,5,64,"F",1,2,"N",64,0
2018,123888005,112387373,1,4,,,,5,79,"M",1,2,"R",79,0
2018,123885815,112387378,1,4,,,,5,24,"M",4,2,"R",24,0
2018,123885857,112384413,2,8,,,,,,"",,,"",,
2018,123888038,112384413,1,1,,,,,,"",,,"",,
2018,123885868,112387416,1,8,,,,,,"",,,"",,
2018,123903137,112393863,1,4,,,,5,38,"M",1,2,"R",38,0
2018,123906642,112401814,1,4,,,,5,50,"M",2,2,"R",50,0
2018,123906648,112393868,1,4,,,,5,12,"M",1,2,"R",12,0
2018,123887984,112384327,1,4,,,,5,39,"M",1,1,"N",39,0
2018,123885798,112387367,1,8,,,,,,"",,,"",,
2018,123888003,112387371,1,4,,,,5,30,"F",2,2,"N",30,0
2018,123888009,112387379,1,4,,,,5,47,"M",4,2,"R",47,0
2018,123885829,112384394,1,8,,,,,,"",,,"",,
2018,123885845,112384407,1,4,,,,5,59,"M",1,2,"N",59,0
2018,123888037,112387410,1,1,,,,,,"",,,"",,
2018,123885872,112384429,1,8,,,,,,"",,,"",,
2018,123906641,112399465,1,4,,,,5,61,"M",2,2,"R",61,0
2018,123903144,112401824,2,4,,,,5,28,"M",1,2,"R",28,0
2018,123906647,112401824,1,4,,,,5,29,"F",1,2,"R",29,0
2018,123906763,112401994,1,4,,,,5,48,"F",2,,"",48,0
2018,123882960,112381743,1,1,,,,,,"",,,"",,
2018,123883039,112381790,1,4,,,,5,55,"F",1,2,"R",55,0
2018,123884204,112382829,1,4,,,,4,,"U",0,3,"U",,
2018,123885731,112384306,1,1,,,,,,"",,,"",,
2018,123885768,112384344,1,1,,,,,,"",,,"",,
2018,123885792,112384365,1,4,,,,5,43,"M",1,2,"R",43,0
2018,123888016,112387385,1,4,,,,5,42,"M",1,2,"R",42,0
2018,123885838,112387398,1,1,,,,,,"",,,"",,
2018,123888033,112387405,1,8,,,,,,"",,,"",,
2018,123887745,112387135,1,1,,,,,,"",,,"",,
2018,123885741,112384316,1,4,,,,5,25,"F",2,2,"R",25,0
2018,123885764,112387357,1,4,,,,5,41,"M",1,2,"N",41,0
2018,123888006,112387375,1,1,,,,,,"",,,"",,
2018,123888045,112387417,1,8,,,,,,"",,,"",,
2018,123885880,112387421,1,8,,,,,,"",,,"",,
2018,123885284,112387137,1,4,,,,5,68,"F",1,,"",68,69
2018,123885725,112384301,1,4,,,,5,26,"F",1,2,"R",26,0
2018,123887979,112387351,1,4,,,,5,25,"M",2,2,"R",25,0
2018,123885760,112384338,1,8,,,,,,"",,,"",,
2018,123887994,112384349,1,8,,,,,,"",,,"",,
2018,123885785,112384358,2,8,,,,,,"",,,"",,
2018,123888000,112387369,1,1,,,,,,"",,,"",,
2018,123885801,112384373,2,4,,,,5,48,"F",1,2,"R",48,0
2018,123888001,112384373,1,4,,,,5,14,"F",1,2,"R",14,0
2018,123885810,112384380,1,1,,,,,,"",,,"",,
2018,123885828,112384393,1,1,,,,,,"",,,"",,
2018,123885832,112387391,1,4,,,,5,42,"M",1,2,"N",42,0
2018,123888041,112384419,1,4,,,,5,35,"M",4,2,"R",35,0
2018,123888048,112387420,1,5,6,11,,5,45,"M",1,2,"R",40,50
2018,123885269,112387128,1,4,,,,5,62,"M",0,,"",62,63
2018,123887743,112383870,1,1,,,,,,"",,,"",,
2018,123885734,112384309,2,4,,,,5,23,"M",4,2,"N",23,0
2018,123885730,112384309,1,4,,,,5,26,"M",4,2,"N",26,0
2018,123885761,112387355,1,1,,,,,,"",,,"",,
2018,123885771,112384348,1,8,,,,,,"",,,"",,
2018,123888004,112387372,1,1,,,,,,"",,,"",,
2018,123885814,112384383,2,4,,,,5,18,"F",2,2,"R",18,0
2018,123891207,112384383,1,4,,,,5,40,"F",2,2,"R",40,0
2018,123885817,112384383,3,4,,,,5,21,"F",2,2,"R",21,0
2018,123888017,112387387,1,4,,,,5,49,"F",1,1,"N",49,0
2018,123885840,112391276,1,4,,,,5,48,"M",1,2,"N",48,0
2018,123885866,112384422,1,4,,,,5,22,"M",2,2,"N",22,0
2018,123885871,112384428,1,4,,,,5,52,"F",2,2,"R",52,0
2018,123894234,112401812,1,4,,,,5,42,"F",1,2,"R",42,0
2018,123903143,112401817,1,8,,,,,,"",,,"",,
2018,123894250,112393871,1,4,,,,5,62,"F",1,2,"R",62,0
2018,123903227,112401897,1,4,,,,5,65,"M",1,2,"R",65,0
2018,123894387,112393999,1,8,,,,,,"",,,"",,
2018,123903404,112402048,1,4,,,,5,82,"M",1,,"",82,0
2018,123894236,112401815,1,8,,,,,,"",,,"",,
2018,124598190,113031083,1,1,,,,,,"",,,"",,
2018,123887721,112383837,1,4,,,,5,58,"M",1,2,"R",58,59
2018,123887945,112384250,1,4,,,,5,70,"F",1,2,"N",70,0
2018,123885705,112384285,1,4,,,,5,40,"F",1,2,"N",40,0
2018,123885713,112384295,1,4,,,,5,29,"M",2,2,"N",29,0
2018,123885732,112384307,1,1,,,,,,"",,,"",,
2018,123885765,112384342,1,1,,,,,,"",,,"",,
2018,123885772,112384347,1,8,,,,,,"",,,"",,
2018,123885869,112384425,1,1,,,,,,"",,,"",,
