"DATA_YEAR","NIBRS_MONTH_ID","AGENCY_ID","MONTH_NUM","DATA_YEAR","REPORTED_STATUS","REPORT_DATE","UPDATE_FLAG","ORIG_FORMAT","DATA_HOME","DDOCNAME","DID","MONTH_PUB_STATUS"
2018,9093634,3992,4,2018,"U",24-JUN-19,"Y","F","C","2018_04_GA1110000_NIBRS",51134203,0
2018,9095608,3992,6,2018,"I",24-JUN-19,"Y","F","C","2018_06_GA1110000_NIBRS",48739382,0
2018,9093478,3878,8,2018,"U",21-JUN-19,"Y","F","C","2018_08_GA0780600_NIBRS",48709929,0
2018,8895223,3878,9,2018,"I",01-APR-19,"Y","F","C","2018_09_GA0780600_NIBRS",51107214,0
2018,8892944,3878,10,2018,"I",01-APR-19,"Y","F","C","2018_10_GA0780600_NIBRS",42552260,0
2018,8895705,3878,11,2018,"I",01-APR-19,"Y","F","C","2018_11_GA0780600_NIBRS",42549012,0
2018,8895706,3878,12,2018,"I",01-APR-19,"Y","F","C","2018_12_GA0780600_NIBRS",42549013,0
2018,9093598,4000,6,2018,"I",21-JUN-19,"Y","F","C","2018_06_GA1130000_NIBRS",48723175,0
2018,9093600,4000,10,2018,"U",21-JUN-19,"Y","F","C","2018_10_GA1130000_NIBRS",48723184,0
2018,9093603,4000,12,2018,"U",21-JUN-19,"Y","F","C","2018_12_GA1130000_NIBRS",51134579,0
2018,10502071,3857,11,2018,"I",22-OCT-19,"Y","F","C","2018_11_GA0740000_NIBRS",58706908,0
2018,9226248,3564,6,2018,"U",28-AUG-19,"Y","F","C","2018_06_GA0250200_NIBRS",51107728,0
2018,9140562,3564,8,2018,"U",29-JUL-19,"Y","F","C","2018_08_GA0250200_NIBRS",49801846,0
2018,9215936,3564,9,2018,"U",28-AUG-19,"Y","F","C","2018_09_GA0250200_NIBRS",51133031,0
2018,9095572,3564,11,2018,"I",24-JUN-19,"Y","F","C","2018_11_GA0250200_NIBRS",51132977,0
2018,9095575,3564,12,2018,"I",24-JUN-19,"Y","F","C","2018_12_GA0250200_NIBRS",48739273,0
2018,9093480,3869,11,2018,"U",21-JUN-19,"Y","F","C","2018_11_GA0760300_NIBRS",51107242,0
2018,9093485,3869,12,2018,"U",21-JUN-19,"Y","F","C","2018_12_GA0760300_NIBRS",56462702,0
2018,9093505,3490,5,2018,"U",21-JUN-19,"Y","F","C","2018_05_GA0080200_NIBRS",51132268,0
2018,9093484,3490,9,2018,"U",21-JUN-19,"Y","F","C","2018_09_GA0080200_NIBRS",48709938,0
2018,9093491,3490,10,2018,"U",21-JUN-19,"Y","F","C","2018_10_GA0080200_NIBRS",48709948,0
2018,8895218,3490,11,2018,"I",01-APR-19,"Y","F","C","2018_11_GA0080200_NIBRS",51132254,0
