"YEARLY_AGENCY_ID","AGENCY_ID","DATA_YEAR","ORI","LEGACY_ORI","COVERED_BY_LEGACY_ORI","DIRECT_CONTRIBUTOR_FLAG","DORMANT_FLAG","DORMANT_YEAR","REPORTING_TYPE","UCR_AGENCY_NAME","NCIC_AGENCY_NAME","PUB_AGENCY_NAME","PUB_AGENCY_UNIT","AGENCY_STATUS","STATE_ID","STATE_NAME","STATE_ABBR","STATE_POSTAL_ABBR","DIVISION_CODE","DIVISION_NAME","REGION_CODE","REGION_NAME","REGION_DESC","AGENCY_TYPE_NAME","POPULATION","SUBMITTING_AGENCY_ID","SAI","SUBMITTING_AGENCY_NAME","SUBURBAN_AREA_FLAG","POPULATION_GROUP_ID","POPULATION_GROUP_CODE","POPULATION_GROUP_DESC","PARENT_POP_GROUP_CODE","PARENT_POP_GROUP_DESC","MIP_FLAG","POP_SORT_ORDER","SUMMARY_RAPE_DEF","PE_REPORTED_FLAG","MALE_OFFICER","MALE_CIVILIAN","PED.MALE_OFFICER+PED.MALE_CIVILIAN","FEMALE_OFFICER","FEMALE_CIVILIAN","PED.FEMALE_CIVILIAN+PED.FEMALE_OFFICER","0","0","NIBRS_CERT_DATE","NIBRS_START_DATE","NIBRS_LEOKA_START_DATE","NIBRS_CT_START_DATE","NIBRS_MULTI_BIAS_START_DATE","NIBRS_OFF_ETH_START_DATE","COVERED_FLAG","COUNTY_NAME","MSA_NAME","PUBLISHABLE_FLAG","PARTICIPATED","NIBRS_PARTICIPATED"
34692018,3469,2018,"GA0010100","GA0010100","","N","N",,"I","BAXLEY","BAXLEY PD","Baxley","","A",13,"Georgia","GA","GA","5","South Atlantic","3","South","Region III","City",4718,23363,"GAUCR0001","Georgia Bureau of Investigation Georgia Crime Information Center","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",9,0,9,3,4,7,0,0,01-JAN-18,01-DEC-18,01-DEC-18,01-OCT-19,01-OCT-19,,"N","APPLING","Non-MSA","Y","Y","Y"
34752018,3475,2018,"GA0030100","GA0030100","","N","N",,"I","ALMA","ALMA PD","Alma","","A",13,"Georgia","GA","GA","5","South Atlantic","3","South","Region III","City",3486,23363,"GAUCR0001","Georgia Bureau of Investigation Georgia Crime Information Center","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",7,0,7,1,2,3,0,0,01-JAN-18,01-NOV-18,01-NOV-18,01-MAR-19,01-MAR-19,01-MAR-19,"N","BACON","Non-MSA","Y","Y","Y"
34752018,3475,2018,"GA0030100","GA0030100","","N","N",,"I","ALMA","ALMA PD","Alma","","A",13,"Georgia","GA","GA","5","South Atlantic","3","South","Region III","City",3486,23363,"GAUCR0001","Georgia Bureau of Investigation Georgia Crime Information Center","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",7,0,7,1,2,3,0,0,01-JAN-18,01-NOV-18,01-NOV-18,01-MAR-19,01-MAR-19,01-MAR-19,"N","BACON","Non-MSA","Y","N","Y"
34892018,3489,2018,"GA0080100","GA0080100","","N","N",,"I","CARTERSVILLE","CARTERSVILLE PD","Cartersville","","A",13,"Georgia","GA","GA","5","South Atlantic","3","South","Region III","City",21156,23363,"GAUCR0001","Georgia Bureau of Investigation Georgia Crime Information Center","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",49,2,51,8,7,15,0,0,01-JAN-18,01-DEC-18,01-DEC-18,01-JUL-19,01-JUL-19,,"N","BARTOW","Atlanta-Sandy Springs-Alpharetta, GA","Y","Y","Y"
34902018,3490,2018,"GA0080200","GA0080200","","N","N",,"I","ADAIRSVILLE","ADAIRSVILLE PD","Adairsville","","A",13,"Georgia","GA","GA","5","South Atlantic","3","South","Region III","City",4879,23363,"GAUCR0001","Georgia Bureau of Investigation Georgia Crime Information Center","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",15,0,15,0,1,1,0,0,01-JAN-18,01-NOV-18,01-NOV-18,01-MAR-19,01-MAR-19,01-MAR-19,"N","BARTOW","Atlanta-Sandy Springs-Alpharetta, GA","Y","Y","Y"
34902018,3490,2018,"GA0080200","GA0080200","","N","N",,"I","ADAIRSVILLE","ADAIRSVILLE PD","Adairsville","","A",13,"Georgia","GA","GA","5","South Atlantic","3","South","Region III","City",4879,23363,"GAUCR0001","Georgia Bureau of Investigation Georgia Crime Information Center","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",15,0,15,0,1,1,0,0,01-JAN-18,01-NOV-18,01-NOV-18,01-MAR-19,01-MAR-19,01-MAR-19,"N","BARTOW","Atlanta-Sandy Springs-Alpharetta, GA","Y","N","Y"
34992018,3499,2018,"GA0100200","GA0100200","","N","N",,"I","ALAPAHA","ALAPAHA PD","Alapaha","","A",13,"Georgia","GA","GA","5","South Atlantic","3","South","Region III","City",667,23363,"GAUCR0001","Georgia Bureau of Investigation Georgia Crime Information Center","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",1,0,1,0,1,1,0,0,01-JAN-18,01-DEC-18,01-DEC-18,,01-JUN-19,,"N","BERRIEN","Non-MSA","Y","Y","Y"
35072018,3507,2018,"GA011099E","GA0110900","","N","N",,"I","MERCER UNIVERSITY","MERCER UNIV DPS CAMPUS SECURITY MACON","Mercer University","","A",13,"Georgia","GA","GA","5","South Atlantic","3","South","Region III","University or College",0,23363,"GAUCR0001","Georgia Bureau of Investigation Georgia Crime Information Center","Y",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","N",,,,,,,0,0,01-JAN-18,01-DEC-18,01-DEC-18,01-JUN-19,01-JUN-19,01-JUN-19,"N","BIBB","Macon-Bibb County, GA","Y","Y","Y"
35642018,3564,2018,"GA0250200","GA0250200","","N","N",,"I","GARDEN CITY","GARDEN CITY PD GARDEN CITY","Garden City","","A",13,"Georgia","GA","GA","5","South Atlantic","3","South","Region III","City",9008,23363,"GAUCR0001","Georgia Bureau of Investigation Georgia Crime Information Center","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",25,1,26,8,8,16,0,0,01-JAN-18,01-NOV-18,01-NOV-18,01-JUN-19,01-JUN-19,01-JUN-19,"N","CHATHAM","Savannah, GA","Y","Y","Y"
35662018,3566,2018,"GA0250400","GA0250400","","N","N",,"I","POOLER","POOLER PD","Pooler","","A",13,"Georgia","GA","GA","5","South Atlantic","3","South","Region III","City",24656,23363,"GAUCR0001","Georgia Bureau of Investigation Georgia Crime Information Center","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",47,0,47,5,7,12,0,0,01-JAN-18,01-JUN-18,01-JUN-18,01-JUN-19,01-JUN-19,01-JUN-19,"N","CHATHAM","Savannah, GA","Y","Y","Y"
